MoveIndex|Name|TMIndex|HMIndex|Type|Category|Power|Accuracy|PP|PPMax|Effect|MakesContact|Description|AttackAnimations
53|Inferno|-1|-1|Fire|Special|100|50|5|8|Burn|0|The user attacks by engulfing the target in an intense fire. It leaves the target with a burn.|
54|Hone Claws|1|-1|Dark|Status|-1|-1|15|24|Attack=+1:User;Accuracy=+1:User|0|The user sharpens its claws to boost its Attack stat and accuracy.|
55|Dragon Claw|2|-1|Dragon|Physical|80|100|15|24|None|1|The user slashes the target with huge, sharp claws.|
56|Roar|5|-1|Normal|Status|-1|100|20|32|Flee|0|The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends.|
57|Hyper Beam|15|-1|Normal|Special|150|90|5|8|WaitAfter=+1|0|The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.|
58|Earthquake|26|-1|Ground|Physical|100|100|10|16|None|0|The user sets off an earthquake that strikes those around it.|
59|Giga Impact|68|-1|Normal|Physical|150|90|5|8|WaitAfter=+1|1|The user charges at the target using every bit of its power. The user must rest on the next turn.|
60|Bulldoze|78|-1|Ground|Physical|60|100|20|32|Speed=-1|0|The user stomps down on the ground and attacks everything in the area. Hit Pokémon's Speed stat is reduced.|
61|Pound|-1|-1|Normal|Physical|40|100|35|56|None|1|The target is physically pounded with a long tail or a foreleg, etc.|
62|Karate Chop|-1|-1|Fighting|Physical|50|100|25|40|CriticalHit=+1|1|The target is attacked with a sharp chop. Critical hits land more easily.|
63|DoubleSlap|-1|-1|Normal|Physical|10|85|10|16|MultipleHit=2to5|1|The target is slapped repeatedly, back and forth, two to five times in a row.|
64|Comet Punch|-1|-1|Normal|Physical|18|85|15|24|MultipleHit=2to5|1|The target is hit with a flurry of punches that strike two to five times in a row.|
65|Mega Punch|-1|-1|Normal|Physical|80|85|20|32|None|1|The target is slugged by a punch thrown with muscle-packed power.|
66|Pay Day|-1|-1|Normal|Physical|40|100|20|32|Payday|0|Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.|
67|Ice Punch|-1|-1|Ice|Physical|75|100|15|24|Freeze:Chance=10%|1|The target is punched with an icy fist. It may also leave the target frozen.|
68|Thunder Punch|-1|-1|Electric|Physical|75|100|15|24|Paralysis:Chance=10%|1|The target is punched with an electrified fist. It may also leave the target with paralysis.|
69|ViceGrip|-1|-1|Normal|Physical|55|100|30|48|None|1|The target is gripped and squeezed from both sides to inflict damage.|
70|Guillotine|-1|-1|Normal|Physical|-1|30|5|8|Guillotine|1|A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits.|
71|Razor Wind|-1|-1|Normal|Special|80|100|10|16|RazorWind|0|A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.|
72|Gust|-1|-1|Flying|Special|40|100|35|56|None|0|A gust of wind is whipped up by wings and launched at the target to inflict damage.|
73|Wing Attack|-1|-1|Flying|Physical|60|100|35|56|None|1|The target is struck with large, imposing wings spread wide to inflict damage.|
74|Whirlwind|-1|-1|Normal|Status|-1|100|20|32|Flee|0|The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.|
75|Fly|-1|2|Flying|Physical|90|95|15|24|Wait=+1;Fly|1|The user soars, then strikes its target on the second turn. It can also be used for flying anywhere on the pokemon.|
76|Bind|-1|-1|Normal|Physical|15|85|20|32|Bind|1|Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.|
77|Slam|-1|-1|Normal|Physical|80|75|20|32|None|1|The target is slammed with a long tail, vines, etc., to inflict damage.|
78|Stomp|-1|-1|Normal|Physical|65|100|20|32|Flinch:Chance=30%|1|The target is stomped with a big foot. It may also make the target flinch.|
79|Double Kick|-1|-1|Fighting|Physical|30|100|30|48|MultipleHit=2|1|The target is quickly kicked twice in succession using both feet.|
80|Mega Kick|-1|-1|Normal|Physical|120|75|5|8|None|1|The target is attacked by a kick launched with muscle-packed power.|
81|Jump Kick|-1|-1|Fighting|Physical|100|95|10|16|Miss:HP=50%|1|The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.|
82|Rolling Kick|-1|-1|Fighting|Physical|60|85|15|24|Flinch:Chance=30%|1|The user lashes out with a quick, spinning kick. It may also make the target flinch.|
83|Sand-Attack|-1|-1|Ground|Status|-1|100|15|24|Accuracy=-1|0|Sand is hurled in the target's face, reducing its accuracy.|
84|Headbutt|-1|-1|Normal|Physical|70|100|15|24|Flinch:Chance=30%|1|The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch.|
85|Horn Attack|-1|-1|Normal|Physical|65|100|25|40|None|1|The target is jabbed with a sharply pointed horn to inflict damage.|
86|Fury Attack|-1|-1|Normal|Physical|15|85|20|32|MultipleHit=2to5|1|The target is jabbed repeatedly with a horn or beak two to five times in a row.|
87|Horn Drill|-1|-1|Normal|Physical|-1|-1|5|8|OHKO|1|The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly.|
88|Body Slam|-1|-1|Normal|Physical|85|100|15|24|Paralysis:Chance=30%|1|The user drops onto the target with its full body weight. It may also leave the target with paralysis.|
89|Wrap|-1|-1|Normal|Physical|15|90|20|32|Bind|1|A long body or vines are used to wrap and squeeze the target for four to five turns.|
90|Thrash|-1|-1|Normal|Physical|120|100|10|16|PetalDance|1|The user rampages and attacks for two to three turns. It then becomes confused, however.|
91|Poison Sting|-1|-1|Poison|Physical|15|100|35|56|Poison:Chance=30%|0|The user stabs the target with a poisonous stinger. This may also poison the target.|
92|Twineedle|-1|-1|Bug|Physical|25|100|20|32|MultipleHit=2;Poison:Chance=20%|0|The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.|
93|Pin Missile|-1|-1|Bug|Physical|14|85|20|32|MultipleHit=2to5|0|Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.|
94|Leer|-1|-1|Normal|Status|-1|100|30|48|Defence=-1|0|The opposing team gains an intimidating leer with sharp eyes. The opposing team's Defense stats are reduced.|
95|Bite|-1|-1|Dark|Physical|60|100|25|40|Flinch:Chance=30%|1|The target is bitten with viciously sharp fangs. It may make the target flinch.|
96|Sing|-1|-1|Normal|Status|-1|55|15|24|Sleep|0|A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.|
97|Supersonic|-1|-1|Normal|Status|-1|55|20|32|Confusion|0|The user generates odd sound waves from its body. It may confuse the target.|
98|SonicBoom|-1|-1|Normal|Special|-1|90|20|32|Damage=20|0|The target is hit with a destructive shock wave that always inflicts 20 HP damage.|
99|Disable|-1|-1|Normal|Status|-1|100|20|32|Disable|0|For four turns, this move prevents the target from using the move it last used.|
100|Acid|-1|-1|Poison|Special|40|100|30|48|SpecialDefence=-1:Chance=10%|0|The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets' Sp. Def stats.|
101|Mist|-1|-1|Ice|Status|-1|-1|30|48|Mist|0|The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.|
102|Water Gun|-1|-1|Water|Special|40|100|25|40|None|0|The target is blasted with a forceful shot of water.|
103|Hydro Pump|-1|-1|Water|Special|120|80|5|8|None|0|The target is blasted by a huge volume of water launched under great pressure.|
104|Surf|-1|3|Water|Special|95|100|15|24|None|0|It swamps the area around the user with a giant wave. It can also be used for crossing water.|
105|Ice Beam|13|-1|Ice|Special|95|100|10|16|Freeze:Chance=10%|0|The target is struck with an icy-cold beam of energy. It may also freeze the target solid.|
106|Blizzard|14|-1|Ice|Special|120|70|5|8|Freeze:Chance=10%;AlwaysHit:Hail|0|A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.|
107|Psybeam|-1|-1|Psychic|Special|65|100|20|32|Confusion:Chance=10%|0|The target is attacked with a peculiar ray. It may also cause confusion.|
108|BubbleBeam|-1|-1|Water|Special|65|100|20|32|Speed=-1:Chance=10%|0|A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats|
109|Aurora Beam|-1|-1|Ice|Special|65|100|20|32|Attack=-1:Chance=10%|0|The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.|
110|Peck|-1|-1|Flying|Physical|35|100|35|56|None|1|The target is jabbed with a sharply pointed beak or horn.|
111|Drill Peck|-1|-1|Flying|Physical|80|100|20|32|None|1|A corkscrewing attack with the sharp beak acting as a drill.|
112|Submission|-1|-1|Fighting|Physical|80|80|25|40|Recoil=-25%|1|The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.|
113|Low Kick|-1|-1|Fighting|Physical|50|100|20|32|Flinch:Chance=30%|1|A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.|
114|Counter|-1|-1|Fighting|Physical|-1|100|20|32|Priority=-5;Counter|1|A retaliation move that counters any physical attack, inflicting double the damage taken.|
115|Seismic Toss|-1|-1|Fighting|Physical|-1|100|20|32|NightShade|1|The target is thrown using the power of gravity. It inflicts damage equal to the user's level.|
116|Sacred Fire|-1|-1|Fire|Special|100|95|5|8|Thaw;Burn:Chance=50%|0|The target is razed with a mystical fire of great intensity. It may also leave the target with a burn.|
117|Absorb|-1|-1|Grass|Special|20|100|25|40|Drain=50%|0|A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.|
118|Mega Drain|-1|-1|Grass|Special|40|100|15|24|Drain=50%|0|A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.|
119|Stun Spore|-1|-1|Grass|Status|-1|75|30|48|Paralysis|0|The user scatters a cloud of paralyzing powder. It may leave the target with paralysis.|
120|String Shot|-1|-1|Bug|Status|-1|95|30|64|Speed=-1|0|The targets are bound with silk blown from the user's mouth. This silk reduces the targets' Speed stat.|
121|ThunderShock|-1|-1|Electric|Special|40|100|30|48|Paralysis:Chance=10%|0|A jolt of electricity is hurled at the target to inflict damage. It may also leave the target with paralysis.|
122|Thunderbolt|24|-1|Electric|Special|95|100|15|24|Paralysis:Chance=10%|0|A strong electric blast is loosed at the target. It may also leave the target with paralysis.|
123|Thunder Wave|73|-1|Electric|Status|-1|100|20|32|Paralysis|0|A weak electric charge is launched at the target. It causes paralysis if hit.|
124|Thunder|25|-1|Electric|Special|120|70|10|16|Paralysis:Chance=10%;AlwaysHit:Rain|0|A wicked thunderbolt is dropped on the target to inflict damage. It may also leave the target with paralysis.|
125|Rock Throw|-1|-1|Rock|Physical|50|90|15|24|None|0|The user picks up and throws a small rock at the target to attack|
126|Fissure|-1|-1|Ground|Physical|-1|-1|5|8|OHKO|0|The user opens up a fissure in the ground and drops the target in. The target instantly faints if it hits.|
127|Dig|28|-1|Ground|Physical|80|100|10|16|Wait=+1;Dig|1|The user burrows, then attacks on the second turn. It can also be used to exit dungeons.|
128|Confusion|-1|-1|Psychic|Special|50|100|25|40|Confusion:Chance=10%|0|The target is hit by a weak telekinetic force. It may also leave the target confused.|
129|Psychic|29|-1|Psychic|Special|90|100|10|16|SpecialDefense=-1:Chance=10%|0|The target is hit by a strong telekinetic force. It may also reduce the target's Sp.Def stat.|
130|Hypnosis|-1|-1|Psychic|Status|-1|60|20|32|Sleep|0|The user employs hypnotic suggestion to make the target fall into a deep sleep.|
131|Meditate|-1|-1|Psychic|Status|-1|-1|40|64|Attack=+1:User|0|The user meditates to awaken the power deep within its body and raise its Attack stat.|
132|Agility|-1|-1|Psychic|Status|-1|-1|30|48|Speed=+2:User|0|The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.|
133|Quick Attack|-1|-1|Normal|Physical|40|100|30|48|Priority=+1|1|The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.|
134|Rage|-1|-1|Normal|Physical|20|100|20|32|Attack=+1:User|1|As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.|
135|Teleport|-1|-1|Psychic|Status|-1|-1|20|32|Teleport|0|Use it to flee from any wild Pokémon. It can also warp to the last Pokémon Center visited.|
136|Night Shade|-1|-1|Ghost|Special|-1|100|15|24|NightShade|0|The user makes the target see a frightening mirage. It inflicts damage matching the user's level.|
137|Mimic|-1|-1|Normal|Status|-1|-1|10|16|Mimic|0|The user copies the target's last move. The move can be used during battle until the Pokémon is switched out.|
138|Screech|-1|-1|Normal|Status|-1|85|40|64|Defence=-2|0|An earsplitting screech harshly reduces the target's Defense stat.|
139|Recover|-1|-1|Normal|Status|-1|-1|10|16|HP=+50%|0|Restoring its own cells, the user restores its own HP by half of its max HP.|
140|Harden|-1|-1|Normal|Status|-1|-1|30|48|Defence=+1:User|0|The user stiffens all the muscles in its body to raise its Defense stat.|
141|Minimize|-1|-1|Normal|Status|-1|-1|20|32|Evasion=+1:User|0|The user compresses its body to make itself look smaller, which sharply raises its evasiveness.|
142|Confuse Ray|-1|-1|Ghost|Status|-1|100|10|16|Confusion|0|The target is exposed to a sinister ray that triggers confusion.|
143|Withdraw|-1|-1|Water|Status|-1|-1|40|64|Defence=+1:User|0|The user withdraws its body into its hard shell, raising its Defense stat.|
144|Defense Curl|-1|-1|Normal|Status|-1|-1|40|64|Defence=+1:User|0|The user curls up to conceal weak spots and raise its Defense stat.|
145|Barrier|-1|-1|Psychic|Status|-1|-1|30|48|Defence=+2:User|0|The user throws up a sturdy wall that sharply raises its Defense stat.|
146|Haze|-1|-1|Ice|Status|-1|-1|30|48|Haze|0|The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.|
147|Reflect|33|-1|Psychic|Status|-1|-1|20|32|Reflect|0|A wondrous wall is put up to suppress damage from physical attacks for five turns.|
148|Focus Energy|-1|-1|Normal|Status|-1|-1|30|48|CriticalHit=+2|0|The user takes a deep breath and focuses so that critical hits land more easily.|
149|Bide|-1|-1|Normal|Physical|-1|-1|10|16|Bide|0|The user endures attacks for two turns, then strikes back to cause double the damage taken.|
150|Metronome|-1|-1|Normal|Status|-1|-1|10|16|Metronome|0|The user waggles a finger and stimulates its brain into randomly using nearly any move.|
151|Mirror Move|-1|-1|Flying|Status|-1|-1|20|32|MirrorMove|0|The user counters the target by mimicking the target's last move.|
152|Selfdestruct|-1|-1|Normal|Physical|200|100|5|8|HP=-100%;Explosion|0|The user attacks everything around it by causing an explosion. The user faints upon using this move.|
153|Egg Bomb|-1|-1|Normal|Physical|100|75|10|16|None|0|A large egg is hurled at the target with maximum force to inflict damage.|
154|Lick|-1|-1|Ghost|Physical|20|100|30|48|Paralysis:Chance=30%|1|The target is licked with a long tongue, causing damage. It may also leave the target with paralysis.|
155|Smog|-1|-1|Poison|Special|20|70|20|32|Poison:Chance=40%|0|The target is attacked with a discharge of filthy gases. It may also poison the target.|
156|Sludge|-1|-1|Poison|Special|65|100|20|32|Poison:Chance=30%|0|Unsanitary sludge is hurled at the target. It may also poison the target.|
157|Bone Club|-1|-1|Ground|Physical|65|85|20|32|Flinch:Chance=10%|1|The user clubs the target with a bone. It may also make the target flinch.|
158|Fire Blast|38|-1|Fire|Special|120|85|5|8|Burn:Chance=10%|0|The target is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.|
159|Waterfall|-1|5|Water|Physical|80|100|15|24|Flinch:Chance=20%|1|The user charges at the target and may make it flinch. It can also be used to climb a waterfall.|
160|Clamp|-1|-1|Water|Physical|35|85|10|16|Clamp|1|The target is clamped and squeezed by the user's very thick and sturdy shell for four to five turns.|
161|Swift|-1|-1|Normal|Special|60|-1|20|32|AlwaysHit|0|Star-shaped rays are shot at the opposing team. This attack never misses.|
162|Skull Bash|-1|-1|Normal|Physical|100|100|15|24|SkullBash|1|The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn.|
163|Spike Cannon|-1|-1|Normal|Physical|20|100|15|24|MultipleHit=2to5|0|Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.|
164|Constrict|-1|-1|Normal|Physical|10|100|35|56|Speed=-1:Chance=10%|1|The target is attacked with long, creeping tentacles or vines. It may also lower the target's Speed stat.|
165|Amnesia|-1|-1|Psychic|Status|-1|-1|20|32|SpecialDefence=+2:User|0|The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.|
166|Kinesis|-1|-1|Psychic|Status|-1|-1|15|24|Accuracy=-1|0|The user distracts the target by bending a spoon. It lowers the target's accuracy.|
167|Softboiled|-1|-1|Normal|Status|-1|-1|10|16|HP=+50%|0|The user restores its own HP by up to half of its maximum HP. May also be used in the field to heal HP.|
168|Hi Jump Kick|-1|-1|Fighting|Physical|130|90|10|16|Hi Jump Kick|1|The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.|
169|Glare|-1|-1|Normal|Status|-1|-1|30|48|Paralysis|0|The user intimidates the target with the pattern on its belly to cause paralysis.|
170|Dream Eater|85|-1|Psychic|Special|100|100|15|24|Fail:Awake;Drain=50%|0|The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user's HP.|
171|Poison Gas|-1|-1|Poison|Status|-1|80|40|64|Poison|0|A cloud of poison gas is sprayed in the face of opposing Pokémon. It may poison those hit.|
172|Barrage|-1|-1|Normal|Physical|15|85|20|32|MultipleHit=2to5|0|Round objects are hurled at the target to strike two to five times in a row.|
173|Leech Life|-1|-1|Bug|Physical|20|100|15|24|Drain=50%|1|The user drains the target's blood. The user's HP is restored by half the damage taken by the target.|
174|Lovely Kiss|-1|-1|Normal|Status|-1|75|10|16|Sleep|0|With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.|
175|Sky Attack|-1|-1|Flying|Physical|140|90|5|8|SkyAttack;Flinch:Chance=30%;CriticalHit=+1|0|A second-turn attack move where critical hits land more easily. It may also make the target flinch.|
176|Transform|-1|-1|Normal|Status|-1|-1|10|16|Transform|0|The user transforms into a copy of the target right down to having the same move set.|
177|Bubble|-1|-1|Water|Special|20|100|30|48|Speed=-1:Chance=10%|0|A spray of countless bubbles is jetted at the opposing team. It may also lower the targets' Speed stats.|
178|Dizzy Punch|-1|-1|Normal|Physical|80|100|10|16|Confusion:Chance=20%|1|The target is hit with rhythmically launched punches that may also leave it confused.|
179|Spore|-1|-1|Grass|Status|-1|100|15|24|Sleep|0|The user scatters bursts of spores that induce sleep.|
180|Psywave|-1|-1|Psychic|Special|-1|80|15|24|Psywave|0|The target is attacked with an odd psychic wave. The attack varies in intensity.|
181|Splash|-1|-1|Normal|Status|-1|-1|40|64|None|0|The user just flops and splashes around to no effect at all...|
182|Acid Armor|-1|-1|Poison|Status|-1|-1|40|64|Defence=+2:User|0|The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.|
183|Crabhammer|-1|-1|Water|Physical|90|90|10|16|CriticalHit=+1|1|The target is hammered with a large pincer. Critical hits land more easily.|
184|Explosion|64|-1|Normal|Physical|250|100|5|8|HP=-100%;Explosion|0|The user explodes to inflict damage on those around it. The user faints upon using this move.|
185|Fury Swipes|-1|-1|Normal|Physical|18|80|15|24|MultipleHit=2to5|1|The target is raked with sharp claws or scythes for two to five times in quick succession.|
186|Bonemerang|-1|-1|Ground|Physical|50|90|10|16|MultipleHit=2|0|The user throws the bone it holds. The bone loops to hit the target twice, coming and going.|
187|Rock Slide|80|-1|Rock|Physical|75|90|10|16|Flinch:Chance=30%|0|Large boulders are hurled at the opposing team to inflict damage. They may also make the targets flinch.|
188|Hyper Fang|-1|-1|Normal|Physical|80|90|15|24|Flinch:Chance=10%|1|The user bites hard on the target with its sharp front fangs. It may also make the target flinch.|
189|Sharpen|-1|-1|Normal|Status|-1|-1|30|48|Attack=+1:User|0|The user reduces its polygon count to make itself more jagged, raising the Attack stat.|
190|Conversion|-1|-1|Normal|Status|-1|-1|30|48|Conversion|0|The user changes its type to become the same type as one of its moves.|
191|Tri Attack|-1|-1|Normal|Special|80|100|10|16|Burn:Chance=6.67;Paralyze:Chance=6.67;Freeze:Chance=6.67|0|The user strikes with a simultaneous three-beam attack. May also burn, freeze, or leave the target with paralysis.|
192|Super Fang|-1|-1|Normal|Physical|-1|90|10|16|Damage=50%|1|The user chomps hard on the target with its sharp front fangs. It cuts the target's HP to half.|
193|Struggle|-1|-1|Normal|Physical|50|-1|0|0|HP=-25%|1|An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.|
194|Sketch|-1|-1|Normal|Status|-1|-1|1|1|Sketch|0|It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.|
195|Triple Kick|-1|-1|Fighting|Physical|10|90|10|16|TripleKick|0|A consecutive three-kick attack that becomes more powerful with each successive hit.|
196|Thief|46|-1|Dark|Physical|40|100|10|16|Thief|1|The user attacks and steals the target's item simultaneously. It can't steal if the user holds an item.|
197|Spider Web|-1|-1|Bug|Status|-1|-1|10|16|Immobilize|0|The user ensnares the target with thin, gooey silk so it can't flee from battle.|
